character_x,character_y,enemy_x,enemy_y,enemy_action,distance
702.357,400.007,754.847,546.081,Moving,155.218
702.362,400.007,754.842,546.066,Moving,155.201
702.37,400.007,754.833,546.04,Moving,155.171
702.376,400.007,754.826,546.022,Moving,155.149
702.394,400.007,754.807,545.968,Moving,155.086
702.399,400.007,754.802,545.954,Moving,155.069
702.406,400.007,754.794,545.932,Moving,155.043
702.414,400.008,754.785,545.907,Moving,155.014
702.42,400.008,754.779,545.891,Moving,154.995
702.424,400.008,754.774,545.876,Moving,154.978
702.439,400.008,754.758,545.833,Moving,154.927
702.449,400.008,754.747,545.803,Moving,154.892
702.458,400.008,754.737,545.774,Moving,154.858
702.463,400.008,754.732,545.76,Moving,154.841
702.47,400.008,754.724,545.739,Moving,154.816
702.475,400.008,754.719,545.724,Moving,154.798
702.501,400.008,754.691,545.647,Moving,154.708
702.519,400.008,754.672,545.594,Moving,154.645
702.525,400.008,754.665,545.575,Moving,154.623
702.537,400.008,754.653,545.541,Moving,154.583
702.556,400.008,754.633,545.485,Moving,154.517
702.569,400.008,754.62,545.448,Moving,154.474
702.574,400.008,754.614,545.433,Moving,154.455
702.581,400.008,754.607,545.413,Moving,154.432
702.586,400.008,754.602,545.398,Moving,154.414
702.591,400.008,754.596,545.383,Moving,154.396
702.597,400.008,754.591,545.366,Moving,154.377
702.602,400.008,754.586,545.353,Moving,154.361
702.607,400.009,754.581,545.339,Moving,154.344
702.612,400.009,754.575,545.323,Moving,154.326
702.617,400.009,754.57,545.308,Moving,154.308
702.622,400.009,754.564,545.293,Moving,154.29
702.628,400.009,754.559,545.278,Moving,154.272
702.633,400.009,754.554,545.263,Moving,154.255
702.638,400.009,754.548,545.249,Moving,154.238
702.643,400.009,754.543,545.235,Moving,154.221
702.648,400.009,754.537,545.218,Moving,154.201
702.653,400.009,754.532,545.204,Moving,154.186
702.658,400.009,754.527,545.189,Moving,154.168
702.665,400.009,754.521,545.171,Moving,154.147
702.675,400.009,754.509,545.14,Moving,154.11
702.682,400.009,754.503,545.122,Moving,154.088
702.7,400.009,754.484,545.069,Moving,154.026
702.705,400.009,754.479,545.055,Moving,154.009
702.727,400.009,754.457,544.994,Moving,153.937
702.733,400.009,754.451,544.977,Moving,153.917
702.74,400.009,754.444,544.957,Moving,153.893
702.745,400.009,754.438,544.942,Moving,153.875
702.76,400.009,754.423,544.899,Moving,153.824
702.767,400.009,754.417,544.881,Moving,153.803
702.772,400.009,754.411,544.866,Moving,153.786
702.778,400.009,754.406,544.85,Moving,153.767
702.784,400.009,754.399,544.832,Moving,153.746
702.796,400.01,754.387,544.799,Moving,153.706
702.802,400.01,754.381,544.781,Moving,153.685
702.812,400.01,754.371,544.754,Moving,153.653
702.817,400.01,754.366,544.739,Moving,153.636
702.825,400.01,754.359,544.719,Moving,153.611
702.83,400.01,754.354,544.705,Moving,153.595
702.838,400.01,754.345,544.681,Moving,153.567
702.843,400.01,754.34,544.667,Moving,153.55
702.849,400.01,754.334,544.65,Moving,153.53
702.854,400.01,754.329,544.636,Moving,153.514
702.862,400.01,754.322,544.616,Moving,153.49
702.867,400.01,754.317,544.602,Moving,153.473
702.875,400.01,754.309,544.579,Moving,153.446
702.88,400.01,754.304,544.565,Moving,153.429
702.888,400.01,754.296,544.542,Moving,153.402
702.893,400.01,754.291,544.529,Moving,153.386
702.901,400.01,754.283,544.506,Moving,153.359
702.906,400.01,754.278,544.492,Moving,153.343
702.919,400.01,754.266,544.459,Moving,153.303
702.929,400.01,754.256,544.43,Moving,153.269
702.94,400.01,754.245,544.4,Moving,153.234
702.945,400.01,754.24,544.386,Moving,153.217
702.954,400.01,754.232,544.363,Moving,153.189
702.959,400.01,754.226,544.348,Moving,153.172
702.968,400.011,754.218,544.325,Moving,153.144
702.975,400.011,754.211,544.304,Moving,153.119
702.996,400.011,754.19,544.247,Moving,153.052
703.004,400.011,754.183,544.226,Moving,153.027
703.009,400.011,754.178,544.213,Moving,153.011
703.022,400.011,754.165,544.176,Moving,152.968
703.03,400.011,754.158,544.156,Moving,152.945
703.073,400.011,754.117,544.04,Moving,152.806
703.084,400.011,754.106,544.009,Moving,152.77
703.09,400.011,754.101,543.996,Moving,152.754
703.099,400.011,754.092,543.971,Moving,152.724
703.105,400.011,754.086,543.954,Moving,152.704
703.11,400.011,754.081,543.941,Moving,152.688
703.116,400.011,754.076,543.925,Moving,152.67
703.125,400.011,754.068,543.903,Moving,152.643
703.13,400.011,754.062,543.887,Moving,152.625
703.143,400.012,754.051,543.854,Moving,152.586
703.148,400.012,754.045,543.839,Moving,152.568
703.157,400.012,754.037,543.816,Moving,152.54
703.163,400.012,754.032,543.802,Moving,152.523
703.171,400.012,754.024,543.779,Moving,152.495
703.177,400.012,754.019,543.765,Moving,152.479
703.186,400.012,754.01,543.741,Moving,152.451
703.191,400.012,754.006,543.727,Moving,152.434
703.198,400.012,753.999,543.709,Moving,152.412
703.203,400.012,753.994,543.694,Moving,152.395
703.212,400.012,753.986,543.672,Moving,152.369
703.218,400.012,753.981,543.658,Moving,152.352
703.223,400.012,753.976,543.644,Moving,152.335
703.228,400.012,753.971,543.63,Moving,152.318
703.246,400.012,753.954,543.583,Moving,152.262
703.256,400.012,753.945,543.557,Moving,152.231
703.263,400.012,753.939,543.538,Moving,152.21
703.271,400.012,753.932,543.518,Moving,152.186
703.283,400.012,753.921,543.488,Moving,152.149
703.29,400.012,753.914,543.468,Moving,152.126
703.314,400.013,753.892,543.406,Moving,152.052
703.325,400.013,753.882,543.379,Moving,152.02
703.33,400.013,753.877,543.365,Moving,152.003
703.352,400.013,753.858,543.31,Moving,151.938
703.359,400.013,753.851,543.291,Moving,151.915
703.368,400.013,753.843,543.268,Moving,151.887
703.374,400.013,753.837,543.252,Moving,151.868
703.382,400.013,753.83,543.231,Moving,151.843
703.389,400.013,753.824,543.214,Moving,151.822
703.397,400.013,753.817,543.194,Moving,151.799
703.404,400.013,753.811,543.177,Moving,151.778
703.41,400.013,753.805,543.16,Moving,151.758
703.418,400.013,753.798,543.14,Moving,151.735
703.429,400.013,753.788,543.113,Moving,151.703
703.452,400.013,753.768,543.054,Moving,151.632
703.459,400.013,753.761,543.037,Moving,151.612
703.465,400.013,753.756,543.022,Moving,151.594
703.471,400.013,753.75,543.006,Moving,151.574
703.477,400.014,753.745,542.992,Moving,151.558
703.483,400.014,753.74,542.976,Moving,151.539
703.488,400.014,753.735,542.964,Moving,151.524
703.494,400.014,753.73,542.948,Moving,151.506
703.503,400.014,753.722,542.926,Moving,151.48
703.508,400.014,753.717,542.912,Moving,151.462
703.518,400.014,753.709,542.889,Moving,151.435
703.524,400.014,753.704,542.874,Moving,151.417
703.533,400.014,753.696,542.851,Moving,151.39
703.538,400.014,753.691,542.839,Moving,151.375
703.547,400.014,753.684,542.817,Moving,151.348
703.553,400.014,753.678,542.801,Moving,151.33
703.565,400.014,753.667,542.769,Moving,151.292
703.573,400.014,753.66,542.751,Moving,151.27
703.59,400.014,753.645,542.708,Moving,151.219
703.605,400.014,753.633,542.672,Moving,151.175
703.622,400.014,753.617,542.629,Moving,151.124
703.634,400.015,753.607,542.6,Moving,151.089
703.647,400.015,753.596,542.568,Moving,151.051
703.676,400.015,753.571,542.496,Moving,150.965
703.686,400.015,753.563,542.472,Moving,150.937
703.701,400.015,753.55,542.436,Moving,150.893
703.71,400.015,753.542,542.413,Moving,150.865
703.719,400.015,753.534,542.392,Moving,150.84
703.726,400.015,753.528,542.373,Moving,150.818
703.734,400.015,753.521,542.354,Moving,150.795
703.741,400.015,753.515,542.337,Moving,150.774
703.751,400.015,753.507,542.313,Moving,150.746
703.757,400.015,753.501,542.298,Moving,150.727
703.765,400.015,753.495,542.28,Moving,150.706
703.771,400.015,753.489,542.264,Moving,150.687
703.777,400.015,753.485,542.251,Moving,150.671
703.784,400.016,753.479,542.234,Moving,150.651
703.79,400.016,753.474,542.22,Moving,150.634
703.796,400.016,753.468,542.205,Moving,150.616
703.802,400.016,753.463,542.19,Moving,150.598
703.808,400.016,753.458,542.175,Moving,150.581
703.814,400.016,753.453,542.161,Moving,150.563
703.827,400.016,753.443,542.131,Moving,150.527
703.833,400.016,753.438,542.117,Moving,150.51
703.847,400.016,753.425,542.082,Moving,150.469
703.857,400.016,753.417,542.057,Moving,150.439
703.869,400.016,753.407,542.029,Moving,150.406
703.876,400.016,753.401,542.012,Moving,150.385
703.885,400.016,753.394,541.991,Moving,150.36
703.891,400.016,753.389,541.977,Moving,150.342
703.901,400.016,753.38,541.952,Moving,150.312
703.909,400.016,753.374,541.935,Moving,150.292
703.919,400.016,753.365,541.911,Moving,150.263
703.926,400.016,753.36,541.895,Moving,150.244
703.942,400.017,753.346,541.856,Moving,150.198
703.96,400.017,753.331,541.813,Moving,150.146
703.969,400.017,753.324,541.792,Moving,150.12
703.975,400.017,753.319,541.776,Moving,150.102
703.986,400.017,753.31,541.753,Moving,150.073
704.027,400.017,753.276,541.655,Moving,149.956
704.054,400.017,753.254,541.591,Moving,149.879
704.062,400.017,753.248,541.573,Moving,149.858
704.07,400.017,753.241,541.553,Moving,149.833
704.078,400.017,753.235,541.536,Moving,149.813
704.088,400.017,753.227,541.513,Moving,149.785
704.096,400.018,753.22,541.494,Moving,149.763
704.105,400.018,753.213,541.474,Moving,149.738
704.113,400.018,753.207,541.455,Moving,149.716
704.124,400.018,753.198,541.43,Moving,149.685
704.131,400.018,753.192,541.413,Moving,149.665
704.148,400.018,753.178,541.374,Moving,149.618
704.162,400.018,753.167,541.341,Moving,149.578
704.182,400.018,753.15,541.294,Moving,149.522
704.189,400.018,753.145,541.279,Moving,149.504
704.199,400.018,753.137,541.255,Moving,149.474
704.206,400.018,753.132,541.241,Moving,149.458
704.22,400.018,753.121,541.208,Moving,149.418
704.227,400.018,753.115,541.192,Moving,149.398
704.236,400.018,753.108,541.172,Moving,149.375
704.244,400.019,753.102,541.154,Moving,149.353
704.262,400.019,753.087,541.111,Moving,149.301
704.282,400.019,753.071,541.065,Moving,149.246
704.294,400.019,753.061,541.038,Moving,149.213
704.302,400.019,753.055,541.019,Moving,149.191
704.311,400.019,753.048,541,Moving,149.167
704.331,400.019,753.032,540.954,Moving,149.112
704.34,400.019,753.025,540.934,Moving,149.088
704.347,400.019,753.02,540.919,Moving,149.07
704.356,400.019,753.013,540.898,Moving,149.044
704.364,400.019,753.007,540.881,Moving,149.024
704.376,400.02,752.997,540.853,Moving,148.991
704.383,400.02,752.992,540.837,Moving,148.971
704.396,400.02,752.982,540.809,Moving,148.937
704.402,400.02,752.977,540.794,Moving,148.92
704.41,400.02,752.97,540.776,Moving,148.897
704.418,400.02,752.965,540.76,Moving,148.878
704.425,400.02,752.959,540.743,Moving,148.857
704.432,400.02,752.954,540.727,Moving,148.839
704.438,400.02,752.949,540.713,Moving,148.821
704.446,400.02,752.943,540.697,Moving,148.802
704.452,400.02,752.938,540.683,Moving,148.785
704.458,400.02,752.933,540.669,Moving,148.768
704.465,400.02,752.928,540.653,Moving,148.749
704.472,400.02,752.922,540.637,Moving,148.73
704.479,400.02,752.917,540.623,Moving,148.712
704.486,400.02,752.912,540.607,Moving,148.693
704.493,400.02,752.907,540.592,Moving,148.675
704.499,400.021,752.902,540.578,Moving,148.658
704.506,400.021,752.897,540.563,Moving,148.639
704.523,400.021,752.884,540.525,Moving,148.594
704.533,400.021,752.876,540.503,Moving,148.568
704.543,400.021,752.868,540.48,Moving,148.54
704.55,400.021,752.863,540.466,Moving,148.522
704.559,400.021,752.857,540.446,Moving,148.499
704.565,400.021,752.852,540.432,Moving,148.482
704.575,400.021,752.844,540.41,Moving,148.455
704.582,400.021,752.839,540.395,Moving,148.437
704.593,400.021,752.831,540.371,Moving,148.409
704.602,400.021,752.824,540.351,Moving,148.384
704.624,400.021,752.807,540.302,Moving,148.324
704.637,400.022,752.797,540.274,Moving,148.291
704.644,400.022,752.792,540.258,Moving,148.272
704.657,400.022,752.782,540.229,Moving,148.237
704.696,400.022,752.753,540.146,Moving,148.136
704.706,400.022,752.745,540.124,Moving,148.109
704.715,400.022,752.738,540.103,Moving,148.084
704.725,400.022,752.731,540.082,Moving,148.059
704.739,400.022,752.72,540.051,Moving,148.021
704.748,400.022,752.714,540.032,Moving,147.998
704.757,400.022,752.707,540.013,Moving,147.975
704.765,400.022,752.701,539.996,Moving,147.955
704.773,400.022,752.695,539.979,Moving,147.934
704.781,400.023,752.69,539.962,Moving,147.913
704.789,400.023,752.683,539.943,Moving,147.89
704.798,400.023,752.677,539.925,Moving,147.868
704.806,400.023,752.671,539.907,Moving,147.847
704.814,400.023,752.665,539.89,Moving,147.827
704.821,400.023,752.659,539.874,Moving,147.807
704.829,400.023,752.654,539.858,Moving,147.787
704.837,400.023,752.648,539.84,Moving,147.766
704.846,400.023,752.641,539.821,Moving,147.743
704.862,400.023,752.63,539.787,Moving,147.701
704.869,400.023,752.624,539.772,Moving,147.683
704.88,400.023,752.616,539.748,Moving,147.654
704.887,400.023,752.611,539.733,Moving,147.636
704.898,400.023,752.603,539.71,Moving,147.608
704.904,400.024,752.599,539.697,Moving,147.592
704.915,400.024,752.591,539.674,Moving,147.564
704.921,400.024,752.586,539.66,Moving,147.548
704.932,400.024,752.579,539.638,Moving,147.521
704.938,400.024,752.574,539.624,Moving,147.504
704.949,400.024,752.566,539.602,Moving,147.477
704.957,400.024,752.56,539.585,Moving,147.456
704.972,400.024,752.549,539.553,Moving,147.418
704.979,400.024,752.544,539.537,Moving,147.398
704.995,400.024,752.533,539.504,Moving,147.358
705.016,400.024,752.517,539.459,Moving,147.303
705.029,400.025,752.508,539.433,Moving,147.272
705.036,400.025,752.503,539.417,Moving,147.253
705.059,400.025,752.487,539.37,Moving,147.195
705.066,400.025,752.481,539.354,Moving,147.176
705.074,400.025,752.476,539.339,Moving,147.158
705.088,400.025,752.466,539.308,Moving,147.12
705.097,400.025,752.46,539.29,Moving,147.099
705.108,400.025,752.452,539.267,Moving,147.071
705.114,400.025,752.447,539.253,Moving,147.054
705.125,400.025,752.439,539.231,Moving,147.027
705.132,400.025,752.434,539.216,Moving,147.009
705.143,400.025,752.427,539.194,Moving,146.982
705.15,400.026,752.422,539.179,Moving,146.964
705.161,400.026,752.414,539.157,Moving,146.936
705.167,400.026,752.409,539.143,Moving,146.92
705.178,400.026,752.402,539.121,Moving,146.893
705.185,400.026,752.397,539.107,Moving,146.876
705.195,400.026,752.389,539.085,Moving,146.849
705.202,400.026,752.385,539.072,Moving,146.833
705.213,400.026,752.377,539.049,Moving,146.805
705.219,400.026,752.373,539.035,Moving,146.789
705.23,400.026,752.365,539.013,Moving,146.761
705.238,400.026,752.36,538.997,Moving,146.743
705.244,400.026,752.355,538.983,Moving,146.726
705.255,400.026,752.348,538.962,Moving,146.7
705.262,400.027,752.343,538.948,Moving,146.683
705.272,400.027,752.335,538.926,Moving,146.656
705.279,400.027,752.33,538.911,Moving,146.638
705.29,400.027,752.323,538.889,Moving,146.611
705.297,400.027,752.318,538.875,Moving,146.594
705.307,400.027,752.311,538.855,Moving,146.57
705.314,400.027,752.306,538.84,Moving,146.551
705.325,400.027,752.299,538.818,Moving,146.525
705.332,400.027,752.294,538.803,Moving,146.506
