character_x,character_y,enemy_x,enemy_y,enemy_action,distance
401.027,300.067,416.489,300.011,Moving,15.4625
401.032,300.068,416.461,300.011,Moving,15.4286
401.035,300.068,416.446,300.011,Moving,15.4105
401.04,300.068,416.425,300.011,Moving,15.3853
401.043,300.068,416.41,300.011,Moving,15.3673
401.046,300.068,416.395,300.011,Moving,15.3492
401.058,300.069,416.336,300.011,Moving,15.2782
401.062,300.07,416.316,300.011,Moving,15.2538
401.069,300.07,416.283,300.011,Moving,15.2145
401.074,300.07,416.26,300.011,Moving,15.1864
401.084,300.071,416.211,300.011,Moving,15.1272
401.089,300.071,416.184,300.011,Moving,15.0945
401.092,300.072,416.17,300.011,Moving,15.0776
401.099,300.072,416.138,300.011,Moving,15.0386
401.102,300.072,416.122,300.011,Moving,15.0198
401.11,300.073,416.086,300.011,Moving,14.976
401.114,300.073,416.068,300.011,Moving,14.955
401.117,300.073,416.052,300.011,Moving,14.9356
401.121,300.073,416.032,300.012,Moving,14.9106
401.127,300.074,416.003,300.012,Moving,14.876
401.131,300.074,415.987,300.012,Moving,14.8564
401.138,300.075,415.951,300.012,Moving,14.8126
401.144,300.075,415.926,300.012,Moving,14.7825
401.147,300.075,415.912,300.012,Moving,14.7651
401.15,300.075,415.898,300.012,Moving,14.7483
401.153,300.076,415.883,300.012,Moving,14.7299
401.157,300.076,415.864,300.012,Moving,14.7067
401.16,300.076,415.85,300.012,Moving,14.6904
401.167,300.076,415.819,300.012,Moving,14.6526
401.17,300.077,415.805,300.012,Moving,14.6353
401.176,300.077,415.777,300.012,Moving,14.6008
401.179,300.077,415.763,300.012,Moving,14.5845
401.193,300.078,415.696,300.012,Moving,14.5025
401.197,300.078,415.681,300.012,Moving,14.4839
401.202,300.079,415.658,300.012,Moving,14.4558
401.206,300.079,415.641,300.012,Moving,14.4356
401.21,300.079,415.621,300.012,Moving,14.411
401.213,300.08,415.607,300.012,Moving,14.3938
401.219,300.08,415.58,300.012,Moving,14.3607
401.222,300.08,415.564,300.012,Moving,14.3417
401.228,300.08,415.54,300.012,Moving,14.3129
401.231,300.081,415.525,300.012,Moving,14.2945
401.237,300.081,415.499,300.013,Moving,14.2626
401.24,300.081,415.483,300.013,Moving,14.2427
401.244,300.082,415.469,300.013,Moving,14.2254
401.249,300.082,415.443,300.013,Moving,14.1937
401.253,300.082,415.428,300.013,Moving,14.1753
401.256,300.082,415.414,300.013,Moving,14.158
401.262,300.083,415.387,300.013,Moving,14.1255
401.265,300.083,415.372,300.013,Moving,14.1068
401.271,300.083,415.346,300.013,Moving,14.0753
401.275,300.084,415.331,300.013,Moving,14.0564
401.279,300.084,415.311,300.013,Moving,14.0316
401.283,300.084,415.296,300.013,Moving,14.0135
401.286,300.084,415.282,300.013,Moving,13.9966
401.291,300.085,415.258,300.013,Moving,13.9665
401.294,300.085,415.244,300.013,Moving,13.9496
401.3,300.085,415.22,300.013,Moving,13.9202
401.303,300.086,415.205,300.013,Moving,13.9019
401.309,300.086,415.181,300.013,Moving,13.8721
401.312,300.086,415.167,300.013,Moving,13.8553
401.318,300.086,415.14,300.013,Moving,13.8225
401.326,300.087,415.107,300.013,Moving,13.7815
401.331,300.087,415.081,300.013,Moving,13.7502
401.335,300.088,415.067,300.013,Moving,13.732
401.34,300.088,415.046,300.014,Moving,13.7066
401.343,300.088,415.033,300.014,Moving,13.69
401.349,300.089,415.004,300.014,Moving,13.6546
401.353,300.089,414.989,300.014,Moving,13.6368
401.359,300.089,414.964,300.014,Moving,13.6053
401.362,300.089,414.948,300.014,Moving,13.5856
401.369,300.09,414.919,300.014,Moving,13.5499
401.373,300.09,414.902,300.014,Moving,13.5285
401.376,300.09,414.888,300.014,Moving,13.5122
401.382,300.091,414.863,300.014,Moving,13.4812
401.398,300.092,414.796,300.014,Moving,13.3976
401.409,300.092,414.752,300.014,Moving,13.3437
401.412,300.093,414.739,300.014,Moving,13.327
401.419,300.093,414.707,300.014,Moving,13.2878
401.423,300.093,414.692,300.014,Moving,13.2696
401.426,300.094,414.678,300.014,Moving,13.2518
